Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Number_of_genres,Title_len,sep_Overview,IMDB_Rating_power_2_plus_price,Rating_trans,IMDB_Rating_norm_sum,IMDB_Rating_sub_mean,IMDB_Rating_norm_minmax,is_top_movie,Rating_on_1_to_2_scale,random_score,Genre_code,orig_index
Contratiempo,2016,"Crime, Drama, Mystery",106 min,8.1,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,3,12,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,93,38,35
Avengers: Endgame,2019,"Action, Adventure, Drama",181 min,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",3,17,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,53,1,39
Lion,2016,"Biography, Drama",118 min,8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",2,4,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,11,21,40
Snatch,2000,"Comedy, Crime",104 min,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2,6,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,54,26,41
Rebecca,1940,"Drama, Mystery, Romance",130 min,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,3,7,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,76,48,42
Les quatre cents coups,1959,"Crime, Drama",99 min,8.1,"A young boy, left without attention, delves into a life of petty crime.",2,22,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,10,34,44
Life of Brian,1979,Comedy,94 min,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",1,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,91,25,45
Cat on a Hot Tin Roof,1958,Drama,108 min,8.0,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,1,21,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,72,40,48
Chung Hing sam lam,1994,"Comedy, Crime, Drama",102 min,8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",3,18,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,17,27,52
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",125 min,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",3,29,0,82.55999999999999,0.11627906976744186,0.010972186782342434,0.43541666666666146,0.7499999999999989,1,1,1,19,54
Seppuku,1962,"Action, Drama, Mystery",133 min,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",3,7,0,82.55999999999999,0.11627906976744186,0.010972186782342434,0.43541666666666146,0.7499999999999989,1,1,85,6,55
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",178 min,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,3,49,0,86.24000000000001,0.11363636363636363,0.011227353916815517,0.6354166666666625,1.0,1,1,77,1,57
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",155 min,8.1,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,2,24,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,74,28,58
Ivanovo detstvo,1962,"Drama, War",95 min,8.1,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",2,15,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,64,55,60
Ayla: The Daughter of War,2017,"Biography, Drama, History",125 min,8.4,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",3,25,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,40,23,61
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",99 min,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",3,24,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,14,10,63
Mononoke-hime,1997,"Animation, Action, Adventure",134 min,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",3,13,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,67,16,68
Amadeus,1984,"Biography, Drama, History",160 min,8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",3,7,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,65,23,70
El ángel exterminador,1962,"Drama, Fantasy",95 min,8.1,The guests at an upper-class dinner party find themselves unable to leave.,2,21,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,22,41,74
Persona,1966,"Drama, Thriller",85 min,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,2,7,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,84,54,75
Gladiator,2000,"Action, Adventure, Drama",155 min,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,3,9,0,80.75,0.11764705882352941,0.010844603215105894,0.3354166666666618,0.6249999999999994,1,1,51,1,77
Ace in the Hole,1951,"Drama, Film-Noir",111 min,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",2,15,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,76,42,79
WALL·E,2008,"Animation, Adventure, Family",98 min,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",3,6,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,27,19,81
Blade Runner,1982,"Action, Sci-Fi, Thriller",117 min,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",3,12,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,58,9,82
The Lives of Others,2006,"Drama, Mystery, Thriller",137 min,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",3,19,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,24,50,83
The Circus,1928,"Comedy, Romance",72 min,8.1,The Tramp finds work and the girl of his dreams at a circus.,2,10,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,62,33,84
La La Land,2016,"Comedy, Drama, Music",128 min,8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",3,10,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,96,30,89
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",113 min,8.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",3,12,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,83,49,90
Out of the Past,1947,"Crime, Drama, Film-Noir",97 min,8.0,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",3,15,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,46,36,91
Spotlight,2015,"Biography, Crime, Drama",129 min,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",3,9,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,94,20,93
Rio Bravo,1959,"Action, Drama, Western",141 min,8.0,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",3,9,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,42,7,95
Jagten,2012,Drama,115 min,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",1,6,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,30,40,97
The Dark Knight Rises,2012,"Action, Adventure",164 min,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2,21,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,84,0,98
Yip Man,2008,"Action, Biography, Drama",106 min,8.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",3,7,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,20,3,101
Underground,1995,"Comedy, Drama, War",170 min,8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",3,11,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,63,31,103
Indiana Jones and the Last Crusade,1989,"Action, Adventure",127 min,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",2,34,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,43,0,108
Andhadhun,2018,"Crime, Drama, Music",139 min,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",3,9,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,6,37,114
8½,1963,Drama,138 min,8.0,A harried movie director retreats into his memories and fantasies.,1,2,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,56,40,115
Smultronstället,1957,"Drama, Romance",91 min,8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",2,15,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,86,51,116
Sanjuro,1962,"Action, Comedy, Crime",96 min,8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",3,7,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,33,4,119
Rosemary's Baby,1968,"Drama, Horror",137 min,8.0,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,2,15,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,36,45,121
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance",99 min,8.1,A model discovers a retired judge is keen on invading people's privacy.,3,21,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,30,48,123
Before Sunset,2004,"Drama, Romance",80 min,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,4,51,124
Stalag 17,1953,"Comedy, Drama, War",120 min,8.0,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",3,9,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,9,31,127
Dà hóng denglong gaogao guà,1991,"Drama, History, Romance",125 min,8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",3,27,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,59,43,132
Vikram Vedha,2017,"Action, Crime, Drama",147 min,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",3,12,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,87,5,135
Singin' in the Rain,1952,"Comedy, Musical, Romance",103 min,8.3,A silent film production company and cast make a difficult transition to sound.,3,19,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,33,32,136
12 Years a Slave,2013,"Biography, Drama, History",134 min,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",3,16,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,59,23,137
The Green Mile,1999,"Crime, Drama, Fantasy",189 min,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",3,14,0,82.55999999999999,0.11627906976744186,0.010972186782342434,0.43541666666666146,0.7499999999999989,1,1,72,35,138
Raiders of the Lost Ark,1981,"Action, Adventure",115 min,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",2,23,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,70,0,139
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",137 min,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",2,26,0,80.75,0.11764705882352941,0.010844603215105894,0.3354166666666618,0.6249999999999994,1,1,45,8,140
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",224 min,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,3,33,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,12,14,141
Barry Lyndon,1975,"Adventure, Drama, History",185 min,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,3,12,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,82,13,143
Amores perros,2000,"Drama, Thriller",154 min,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,38,54,147
Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery",76 min,8.1,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",3,28,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,20,56,149
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",119 min,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",3,20,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,35,19,151
The Sound of Music,1965,"Biography, Drama, Family",172 min,8.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,3,18,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,79,22,153
Bronenosets Potemkin,1925,"Drama, History, Thriller",75 min,8.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",3,20,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,59,44,155
The Third Man,1949,"Film-Noir, Mystery, Thriller",104 min,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",3,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,32,57,156
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149 min,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,3,22,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,32,2,158
Inherit the Wind,1960,"Biography, Drama, History",128 min,8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",3,16,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,13,23,166
Gone with the Wind,1939,"Drama, History, Romance",238 min,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,3,18,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,24,43,168
The Red Shoes,1948,"Drama, Music, Romance",135 min,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,3,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,42,46,169
Blood Diamond,2006,"Adventure, Drama, Thriller",143 min,8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",3,13,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,78,15,170
Das Boot,1981,"Adventure, Drama, Thriller",149 min,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",3,8,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,65,15,172
Bin-jip,2004,"Crime, Drama, Romance",88 min,8.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,3,7,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,74,39,175
Trainspotting,1996,Drama,93 min,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,31,40,176
Before Sunrise,1995,"Drama, Romance",101 min,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",2,14,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,66,51,177
Big Fish,2003,"Adventure, Drama, Fantasy",125 min,8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,3,8,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,12,12,182
Queen,2013,"Adventure, Comedy, Drama",146 min,8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,3,5,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,39,11,185
Black Swan,2010,"Drama, Thriller",108 min,8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",2,10,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,92,54,186
Le scaphandre et le papillon,2007,"Biography, Drama",112 min,8.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,2,28,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,64,21,187
Ah-ga-ssi,2016,"Drama, Romance, Thriller",145 min,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",3,9,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,40,52,193
Inside Out,2015,"Animation, Adventure, Comedy",95 min,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",3,10,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,34,17,194
Au revoir les enfants,1987,"Drama, War",104 min,8.0,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",2,21,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,0,55,195
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",137 min,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",3,24,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,63,18,196
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",125 min,8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,3,15,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,76,29,197
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,95 min,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,1,68,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,55,25,199
Vikram Vedha,2017,"Action, Crime, Drama",147 min,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",3,12,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,88,5,200
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",137 min,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",3,24,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,82,18,201
Rio Bravo,1959,"Action, Drama, Western",141 min,8.0,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",3,9,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,71,7,202
Before Sunset,2004,"Drama, Romance",80 min,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2,13,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,56,51,203
Inherit the Wind,1960,"Biography, Drama, History",128 min,8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",3,16,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,48,23,204
