Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Number_of_genres,Title_len,sep_Overview,IMDB_Rating_power_2_plus_price,Rating_trans,IMDB_Rating_norm_sum,IMDB_Rating_sub_mean,IMDB_Rating_norm_minmax,is_top_movie,Rating_on_1_to_2_scale,random_score,Genre_code,orig_index
Into the Wild,2007,"Adventure, Biography, Drama",148 min,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",3,13,4,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,58,23,36
To Be or Not to Be,1942,"Comedy, War",99 min,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",2,18,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,56,77,38
Wonder,2017,"Drama, Family",113 min,8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",2,6,3,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,67,88,39
The Godfather: Part II,1974,"Crime, Drama",202 min,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",2,22,3,90.0,3.0,0.0029135642602784073,0.8063660477453709,0.7692307692307688,0,1,17,78,40
Relatos salvajes,2014,"Comedy, Drama, Thriller",122 min,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,3,16,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,54,72,41
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",3,21,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,50,31,44
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",3,42,2,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,16,3,45
Doctor Zhivago,1965,"Drama, Romance, War",197 min,8.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",3,14,2,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,63,113,46
Tengoku to jigoku,1963,"Crime, Drama, Mystery",143 min,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,3,17,0,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,15,82,47
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",3,4,3,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,96,117,48
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,3,7,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,0,108,49
Sunset Blvd.,1950,"Drama, Film-Noir",110 min,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,2,12,0,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,88,97,50
Scent of a Woman,1992,Drama,156 min,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",1,16,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,23,87,54
Togo,2019,"Adventure, Biography, Drama",113 min,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",3,4,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,94,23,55
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,3,45,0,88.11000000000001,2.9832867780352594,0.0028811913240530916,0.7063660477453713,0.6923076923076922,0,1,39,2,59
Requiem for a Dream,2000,Drama,102 min,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,1,19,0,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,54,87,62
Dead Poets Society,1989,"Comedy, Drama",128 min,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,2,18,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,44,68,63
The Avengers,2012,"Action, Adventure, Sci-Fi",143 min,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,3,12,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,89,4,64
Dogville,2003,"Crime, Drama",178 min,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",2,8,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,7,78,67
Vizontele,2001,"Comedy, Drama",110 min,8.0,Lives of residents in a small Anatolian village change when television is introduced to them,2,9,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,44,68,69
North by Northwest,1959,"Adventure, Mystery, Thriller",136 min,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,3,18,0,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,14,35,71
The Truman Show,1998,"Comedy, Drama",103 min,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,2,15,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,11,68,73
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",1,10,1,86.24000000000001,2.9664793948382653,0.0028488183878277763,0.6063660477453716,0.6153846153846156,0,1,34,87,75
Pink,2016,"Drama, Thriller",136 min,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",2,4,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,87,116,76
Rear Window,1954,"Mystery, Thriller",112 min,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,2,11,0,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,79,127,78
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",3,14,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,56,82,82
Andrei Rublev,1966,"Biography, Drama, History",205 min,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",3,13,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,59,57,83
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",3,27,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,4,50,84
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",2,18,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,45,55,86
Kind Hearts and Coronets,1949,"Comedy, Crime",106 min,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,2,24,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,79,62,87
Okuribito,2008,"Drama, Music",130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,2,9,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,34,104,88
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",115 min,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,3,20,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,48,20,94
Who's Afraid of Virginia Woolf?,1966,Drama,131 min,8.0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",1,31,3,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,41,87,97
Schindler's List,1993,"Biography, Drama, History",195 min,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",3,16,1,88.11000000000001,2.9832867780352594,0.0028811913240530916,0.7063660477453713,0.6923076923076922,0,1,26,57,98
Batman Begins,2005,"Action, Adventure",140 min,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2,13,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,25,0,99
Sweet Smell of Success,1957,"Drama, Film-Noir",96 min,8.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,2,22,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,92,97,101
Fiddler on the Roof,1971,"Drama, Family, Musical",181 min,8.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",3,19,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,16,90,103
Gully Boy,2019,"Drama, Music, Romance",154 min,8.0,A coming-of-age story based on the lives of street rappers in Mumbai.,3,9,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,84,105,106
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94 min,8.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",3,17,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,1,98,114
Laura,1944,"Drama, Film-Noir, Mystery",88 min,8.0,A police detective falls in love with the woman whose murder he is investigating.,3,5,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,24,98,115
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",93 min,8.1,A college professor bonds with an abandoned dog he takes into his home.,3,19,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,44,56,116
My Name Is Khan,2010,Drama,165 min,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,1,15,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,53,87,117
Hacksaw Ridge,2016,"Biography, Drama, History",139 min,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",3,13,3,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,90,57,119
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,3,27,0,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,65,82,120
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,3,14,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,11,91,121
Le notti di Cabiria,1957,Drama,110 min,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,1,19,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,77,87,122
Bohemian Rhapsody,2018,"Biography, Drama, Music",134 min,8.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",3,17,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,83,58,126
Talvar,2015,"Crime, Drama, Mystery",132 min,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,3,6,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,81,82,129
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",3,26,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,72,71,131
The Shawshank Redemption,1994,Drama,142 min,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1,24,1,95.79,3.0495901363953815,0.0030106830689543545,1.1063660477453716,1.0,0,1,27,87,134
It Happened One Night,1934,"Comedy, Romance",105 min,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",2,21,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,15,76,135
Rain Man,1988,Drama,133 min,8.0,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,1,8,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,63,87,141
Ran,1985,"Action, Drama, War",162 min,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",3,3,3,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,2,18,142
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",3,33,1,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,59,85,143
Kôkaku Kidôtai,1995,"Animation, Action, Crime",83 min,8.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,3,14,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,9,39,144
Sleuth,1972,"Mystery, Thriller",138 min,8.0,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",2,6,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,44,127,145
Incendies,2010,"Drama, Mystery, War",131 min,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,3,9,0,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,98,110,148
Yôjinbô,1961,"Action, Drama, Thriller",110 min,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,3,7,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,92,17,150
Fanny och Alexander,1982,Drama,188 min,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",1,19,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,30,87,151
Memento,2000,"Mystery, Thriller",113 min,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,2,7,0,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,86,127,153
La battaglia di Algeri,1966,"Drama, War",121 min,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",2,22,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,97,118,154
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,3,10,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,69,53,155
Ben-Hur,1959,"Adventure, Drama, History",212 min,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",3,7,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,78,29,156
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110 min,8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",3,34,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,69,54,157
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",3,4,2,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,17,12,158
Warrior,2011,"Action, Drama, Sport",140 min,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",3,7,2,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,15,16,159
Il conformista,1970,Drama,113 min,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",1,14,1,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,88,87,160
Klaus,2019,"Animation, Adventure, Comedy",96 min,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",3,5,5,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,41,42,162
Rope,1948,"Crime, Drama, Mystery",80 min,8.0,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,3,4,0,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,80,82,163
Heat,1995,"Crime, Drama, Thriller",170 min,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,3,4,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,31,84,164
The Silence of the Lambs,1991,"Crime, Drama, Thriller",118 min,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",3,24,1,82.55999999999999,2.932575659723036,0.0027840725153771445,0.40636604774537055,0.461538461538461,0,1,77,84,165
The Gold Rush,1925,"Adventure, Comedy, Drama",95 min,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,3,13,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,53,24,167
Central do Brasil,1998,Drama,110 min,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",1,17,4,72.0,2.8284271247461903,0.002589834898025251,-0.1936339522546291,0.0,0,0,68,87,168
Dom za vesanje,1988,"Comedy, Crime, Drama",142 min,8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",3,14,4,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,67,63,170
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",3,18,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,44,8,172
Raging Bull,1980,"Biography, Drama, Sport",129 min,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",3,11,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,17,59,173
Pulp Fiction,1994,"Crime, Drama",154 min,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2,12,3,88.11000000000001,2.9832867780352594,0.0028811913240530916,0.7063660477453713,0.6923076923076922,0,1,4,78,174
The Shining,1980,"Drama, Horror",146 min,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",2,11,1,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,6,102,177
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,3,19,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,52,70,180
Shutter Island,2010,"Mystery, Thriller",138 min,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",2,14,1,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,24,127,181
Million Dollar Baby,2004,"Drama, Sport",132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.,2,19,0,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,29,115,183
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",2,7,1,73.71,2.8460498941515415,0.0026222078342505663,-0.09363395225462945,0.07692307692307661,0,0,10,127,184
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,3,41,0,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,88,63,187
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",3,19,2,75.44,2.8635642126552705,0.002654580770475882,0.006366047745370196,0.15384615384615322,0,1,53,92,190
The Usual Suspects,1995,"Crime, Mystery, Thriller",106 min,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",3,18,1,80.75,2.9154759474226504,0.002751699579151829,0.3063660477453709,0.3846153846153844,0,1,59,85,191
Scarface,1983,"Crime, Drama",170 min,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",2,8,1,77.19000000000001,2.8809720581775866,0.002686953706701198,0.10636604774537162,0.2307692307692312,0,1,75,78,193
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",3,14,1,78.96000000000001,2.898275349237888,0.0027193266429265135,0.20636604774537126,0.3076923076923078,0,1,55,50,195
